fan_blades,fan_rpm,panel_damp_pct,soundpack_dens,dBA_pred,cost_index_pred,dba_reduction
43.05246218987167,2069.2889038206617,62.42271896058818,59.30233073306122,44.00409141518295,0.4774707112212432,15.995908584817052
43.05246218987167,2069.819666562655,62.42271896058818,59.30233073306122,44.00409141518295,0.4774707112212432,15.995908584817052
45.928638089735294,2099.9913091405497,61.90865021236739,59.30233073306122,44.004432778890454,0.47654622242143924,15.995567221109546
40.86452707372562,2100.036637670439,61.90259633413426,59.30279798667586,44.00443528644382,0.4708659452771904,15.995564713556178
40.777727210305855,2099.109494717969,61.90259633413426,59.302574138961724,44.00443528644382,0.4708659452771904,15.995564713556178
45.74565347524569,2097.0219402669195,58.36102318582511,59.05498403046783,44.00502731728516,0.4583891253190173,15.994972682714838
44.94620588078408,2100.359078363759,57.85828000955279,59.17079765476833,44.00567000851401,0.4574147138601673,15.99432999148599
40.78746059993292,2101.1610235004778,58.349487194345926,59.24891588905215,44.005672532365786,0.4524343510086468,15.994327467634214
40.78746059993292,2077.218554144157,58.349487194345926,59.24891588905215,44.005672532365786,0.4524343510086468,15.994327467634214
44.360619753321785,2099.245552885235,56.322396281516895,59.17657734964214,44.00586249179205,0.4454557875423827,15.994137508207949
44.31685598699844,2068.44231386326,55.820936664050606,59.25359650243257,44.006118514572684,0.44258801637633394,15.993881485427316
40.93193192661557,2104.1406773739996,55.88945561681148,59.25359650243257,44.006763729653315,0.4389470026400991,15.993236270346685
35.06826285935333,2090.4073140453793,58.36102318582511,59.242945958865,44.00762857424709,0.4378004256480757,15.992371425752907
34.670671752699214,2101.469095981095,56.61293209289004,59.31273245472842,44.008463748754,0.432965394514045,15.991536251246004
39.784210693821265,2103.3800065399437,53.2240576457825,59.050929018684435,44.01029252908545,0.42559135900829603,15.989707470914553
40.415251846999276,2097.026686465002,53.2240576457825,59.050929018684435,44.01029252908545,0.42559135900829603,15.989707470914553
44.811901041456906,2104.1596956030844,50.66796039238548,59.253407897376746,44.010748195647444,0.419942118480348,15.989251804352556
44.811901041456906,2104.1596956030844,50.66796039238548,59.28645296853273,44.010748195647444,0.419942118480348,15.989251804352556
41.35893547937263,2357.535204120925,45.6479817962263,63.161505247403085,44.01131642422638,0.3941601298768758,15.98868357577362
41.35893547937263,2357.535204120925,45.6479817962263,63.19455031855906,44.01131642422638,0.3941601298768758,15.98868357577362
45.42532764483658,2104.4076751829302,45.71039997181835,58.99973125493449,44.011895265907306,0.3900174932367317,15.988104734092694
42.34611751757814,2099.981234629701,46.09247725893132,58.77640735278775,44.01263936887363,0.3886577856402019,15.987360631126371
41.93765546507962,2344.0060320278435,45.99716908450149,59.00149031309672,44.0130482481208,0.38246924308554303,15.986951751879197
41.83547095899534,2344.0060320278435,46.09247725893132,58.77642760471487,44.01379235108713,0.3815909620870556,15.986207648912867
36.16779175831323,2103.064718823523,45.574518077834064,59.003676386646475,44.0145488447147,0.36941457627122143,15.985451155285297
34.547980521538406,2345.702658354972,45.57232147151589,58.766043938927005,44.016076196968704,0.3671679295716984,15.983923803031296
35.976999061185985,2102.2864029514067,45.66330305221466,58.576778979328665,44.01704927061947,0.36254102886641487,15.982950729380534
35.248474178374416,2107.8377291664556,45.66330305221466,58.55108634344065,44.017937245706996,0.3620271044948765,15.982062754293004
